x,y,ap1,ap2,ap3,ap4,ap5,ap6,ap7,ap8,ap9,ap10,ap11,ap12,ap13,ap14,ap15,ap16,ap17,ap18,ap19,ap20
0,13,-17,-33,-53,-48,-50,-55,-53,-65,-53,-58,-59,-79,-53,-71,-66,-71,-38,-51,-68,-83
0,14,-18,-32,-46,-47,-49,-61,-52,-64,-53,-57,-63,-77,-51,-68,-56,-72,-34,-47,-68,-84
0,14,-23,-30,-35,-52,-47,-54,-43,-62,-48,-58,-62,-73,-44,-64,-57,-71,-32,-43,-68,-84
0,14,-21,-28,-43,-52,-47,-56,-52,-62,-48,-58,-62,-76,-44,-68,-63,-72,-38,-46,-73,-81
0,14,-27,-30,-33,-49,-40,-57,-55,-60,-40,-57,-67,-71,-49,-66,-59,-73,-29,-44,-73,-81
0,14,-27,-29,-33,-52,-40,-57,-55,-60,-41,-59,-66,-74,-50,-68,-62,-73,-29,-44,-73,-82
0,14,-27,-30,-37,-48,-40,-58,-55,-60,-40,-59,-65,-72,-51,-67,-60,-74,-29,-46,-73,-81
0,14,-28,-29,-32,-52,-40,-58,-55,-60,-40,-58,-65,-72,-52,-67,-61,-74,-29,-45,-73,-81
0,14,-30,-31,-38,-50,-45,-59,-61,-62,-33,-58,-63,-75,-50,-69,-63,-73,-27,-44,-73,-84
0,14,-30,-32,-32,-51,-45,-57,-61,-61,-40,-59,-63,-74,-51,-69,-63,-72,-28,-43,-73,-86
0,14,-24,-31,-33,-51,-46,-56,-53,-64,-38,-60,-64,-76,-53,-67,-60,-73,-28,-43,-73,-82
1,0,-38,-48,-21,-28,-57,-74,-36,-43,-61,-77,-48,-63,-65,-82,-49,-59,-57,-62,-66,-82
1,0,-38,-46,-21,-32,-57,-74,-39,-48,-57,-75,-48,-62,-64,-80,-49,-61,-54,-63,-66,-78
1,0,-39,-44,-21,-29,-58,-75,-39,-48,-57,-75,-45,-61,-64,-80,-49,-60,-54,-63,-64,-78
1,0,-40,-43,-23,-28,-58,-74,-40,-46,-58,-75,-48,-60,-64,-81,-49,-60,-53,-63,-64,-79
1,0,-40,-43,-23,-28,-57,-73,-38,-46,-59,-74,-48,-61,-65,-80,-49,-59,-55,-64,-64,-79
1,0,-38,-44,-21,-26,-59,-75,-37,-44,-60,-75,-46,-59,-65,-80,-50,-59,-54,-64,-64,-81
1,0,-38,-46,-24,-29,-55,-78,-37,-41,-61,-74,-46,-61,-65,-82,-49,-58,-58,-63,-64,-82
1,0,-37,-46,-20,-27,-55,-78,-36,-40,-58,-75,-46,-61,-65,-82,-49,-58,-56,-64,-62,-81
1,0,-39,-47,-22,-25,-55,-76,-37,-41,-60,-74,-50,-60,-65,-81,-48,-58,-58,-65,-65,-82
1,0,-39,-47,-22,-25,-55,-76,-37,-41,-60,-74,-50,-60,-65,-81,-48,-58,-58,-65,-65,-82
1,1,-41,-46,-32,-32,-54,-75,-40,-48,-64,-76,-54,-60,-64,-83,-51,-58,-52,-64,-65,-79
1,1,-44,-53,-20,-27,-61,-76,-38,-48,-63,-75,-56,-65,-69,-85,-51,-64,-55,-66,-65,-81
1,1,-44,-47,-21,-25,-59,-76,-46,-48,-55,-75,-50,-65,-65,-83,-48,-60,-58,-65,-61,-83
1,1,-50,-47,-18,-24,-64,-76,-44,-48,-56,-74,-50,-64,-66,-83,-47,-61,-59,-66,-62,-84
1,1,-50,-47,-18,-24,-64,-76,-44,-48,-56,-74,-50,-64,-66,-83,-47,-61,-59,-66,-62,-84
1,1,-50,-50,-21,-23,-60,-78,-44,-45,-57,-74,-49,-63,-66,-84,-45,-60,-56,-67,-63,-83
1,1,-52,-52,-21,-27,-63,-77,-47,-44,-57,-74,-52,-63,-64,-82,-46,-62,-56,-69,-60,-83
1,1,-52,-52,-21,-27,-63,-77,-47,-44,-57,-74,-52,-63,-64,-82,-46,-62,-56,-69,-60,-83
1,1,-50,-53,-26,-26,-63,-78,-47,-47,-62,-76,-53,-63,-64,-83,-47,-63,-55,-71,-63,-83
1,1,-50,-53,-26,-26,-63,-78,-47,-47,-62,-76,-53,-63,-64,-83,-47,-63,-55,-71,-63,-83
1,2,-48,-51,-30,-36,-62,-75,-42,-44,-61,-77,-50,-64,-66,-85,-50,-64,-52,-68,-63,-82
1,2,-40,-53,-27,-32,-61,-72,-45,-46,-61,-69,-54,-61,-58,-79,-50,-60,-48,-65,-69,-77
1,2,-37,-50,-25,-29,-61,-74,-37,-46,-69,-68,-53,-61,-64,-80,-50,-59,-51,-66,-61,-76
1,2,-38,-46,-24,-31,-61,-74,-37,-46,-69,-69,-53,-61,-63,-78,-50,-59,-52,-67,-64,-79
1,2,-38,-46,-24,-31,-61,-74,-37,-46,-69,-69,-53,-61,-63,-78,-50,-59,-52,-67,-64,-79
